exercise_id,exercise_name,description,instructions
148,Smith Machine Upright Row,"Smith Machine Upright Row is performed with a machine and primarily targets the upper back, lats, and rear delts with help from the biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
149,Face Pull,"Face Pull performed with a cable machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the face pull with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
150,Reverse Pec Deck,"Reverse Pec Deck is performed with appropriate equipment and primarily targets the chest (pecs) with supportive work from the front delts and biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
151,Dumbell Rear Delt Fly,"Dumbell Rear Delt Fly is performed with appropriate equipment and primarily targets the chest (pecs) with supportive work from the front delts and biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
152,Cable Rear Delt Fly,"Cable Rear Delt Fly is performed with a cable machine and primarily targets the chest (pecs) with supportive work from the front delts and biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
153,Resistance Band Face Pull,"Resistance Band Face Pull is performed with a resistance band and primarily targets the upper back, lats, and rear delts with help from the biceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
154,JM Press,"JM Press is performed with appropriate equipment and primarily targets the target musculature. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
155,Bodyweight Deadlift,"Bodyweight Deadlift is performed with your bodyweight and primarily targets the posterior chain—glutes, hamstrings, and spinal erectors. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
156,Tricep Dip,"Tricep Dip is performed with your bodyweight and primarily targets the triceps, chest, and front delts. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
157,Leg Extension,"Leg Extension is performed with appropriate equipment and primarily targets the triceps. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
158,Sissy Squat,"Sissy Squat is performed with appropriate equipment and primarily targets the quads and glutes, with the core and adductors assisting. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
159,Seated Leg Curl,"Seated Leg Curl is performed with appropriate equipment and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
160,Lying Leg Curl,"Lying Leg Curl is performed with appropriate equipment and primarily targets the biceps; keep elbows still to reduce shoulder involvement. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
161,Bodyweight Lunge,"Bodyweight Lunge is performed with your bodyweight and primarily targets the glutes and quads while challenging balance and stability. Focus on a smooth tempo, full but comfortable range of motion, and a braced, neutral spine.","Set up the station and load a weight that allows solid form. Adopt a stable stance or position; brace your core and set your shoulder blades. Move through the working phase with control; avoid bouncing or excessive momentum. Pause briefly at end ranges while maintaining tension; do not collapse at the bottom. Drive through the return phase under control, keeping joints stacked and path consistent. Breathe rhythmically (exhale on effort), and keep your neck neutral. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise. Stop a rep or two shy of failure to preserve form, or as your plan prescribes."
